OBJECTID,Current name,category,Previous name,Original designation,Change des?,Original establishment year,calculated area (ha),Dataset area (ha),Province,District,Commune,reference,last update
7,Anloung Pring Protected Landscape,Protected Landscape, , ,N,2016,217.1875785,217,Kampot,Not found,Not found,Sub_decree_No_84__09.05.2016.pdf,24/5/2016
8,Ponhea Kraek Multiple Use Area,Multiple Use Management Area, , ,N,2016,199.3476,199,Tboung Khmum,Not found,Not found,Sub_decree_No_87__09.05.2016.pdf,25/5/2016
9,Southern Cardamom Mountains National Park,National Park, , ,N,2016,411436.9346,"410,392","Koh Kong, Pursat, Kampong Speu, Preah Sihanouk",Not found,Not found,Sub_decree_No_89__09.05.2016.pdf,25/5/2016
25,Tonle Sap Northern Lowland Protected Landscape,Protected Landscape, , ,N,2016,31490.29174,"31,159","Kampong Thom, Siem Reap",Not found,Not found,Sub_decree_No_88__09.05.2016.pdf,26/5/2016
45,Tatai Wildlife Sanctuary,Wildlife Sanctuary, , ,N,2016,144266.0082,"144,275",Koh Kong,Not found,Not found,Sub_decree_No_80__09.05.2016.pdf,24/5/2016
54,Phnom Tbeng Natural Heritage Site,Natural Heritage Site, , ,N,2016,25221.36941,"25,269.41",Preah Vihear,Preah Vihear;Tbeng Meanchey;Sangkum Thmei;Rovieng;Kulen, ,sub_decree_No.189__13.09.2016.pdf,28/9/2016
56,Phnom Thnout- Phnom Pok Wildlife Sanctuary,Wildlife Sanctuary, , ,N,2017,42144.34514,"42,097","Preah Vihear, Siem Reap","Sangkum Thmei, Kuleaen, Chi Kraeng",Not found,Sub-decree_No_143__31.08.2017.pdf,7/11/2017
59,Phnom Neang Kang Rey- Phnom Teuk Meas Multiple Use Area,Multiple Use Management Area, , ,N,2017,5065.608814,"5,063",Kampong Chhnang,Kampong Leaeng,Pou;Trangel;Chranouk;Dar;Svay Rumpear,Sub_decree_no_201__28.11.2017.pdf,20/12/2017
60, Sor Sor Sdom Tao Multiple Use Area,Multiple Use Management Area, , ,N,2017,830.4173222,839,Kratie,Sambour,Not found,Sub_decree_no_201__28.11.2017.pdf,26/12/2017
47,Boeng Lomkod Proected Landscape,Protected Landscape, , ,N,2018,111.1122991,110.91,Ratanak Kiri,Lumphat,Seda,Sub_Decree_No_174__25.12.2018.pdf,9/1/2019
53,Boeng Yeak Laom Multiple Use Area,Multiple Use Management Area, , ,N,2018,225.5992487,225,Ratanak Kiri,Ban Lung,Yeak Laom,Sub_Decree_No_78__13.06.2018.pdf,22/06/2018
61,Koh Rung Marine National Park,Marine National Park, , ,N,2018,57483.35115,52498,Preah Sihanouk;Koh Kong,Not found,Not found,Sub_decree_no_14__08.02.2018.pdf;sub_decree_No.188__13.09.2016.pdf,6/6/2018
62,Sorng Rokha Vorn Wildlife Sanctuary,Wildlife Sanctuary, , ,N,2018,30157.38328,30254,Oddar Meanchey,Samraong; Anlong Veaeng; Chong Kal;,Not found,Sub_Decree_No_49__05.04.2018.pdf,20/06/2018
63,Preaek Prasab Wildlife Sanctuary,Wildlife Sanctuary, , ,N,2018,12757.90428,12770,Kratie,Sambor;Preaek Prasab,Not found,Sub_Decree_No_128__05.10.2018.pdf,25/10/2018
66,Sambor Wildlife Sanctuary,Wildlife Sanctuary, , ,N,2018,50205.11344,50093,Kratie,Sambor,Not found,Sub_Decree_No_129__05.10.2018.pdf,25/10/2018
65,Phnom Krang Dei Meas Protected Landscape,Protected Landscape, , ,N,2019,286.9404996,288,Kampong Chhnang,Rolea B'ier,Not found,Sub_Decree_No_61__12.04.2019.pdf,10/9/2019
