OBJECTID,contract date,sub decree date,Name,year of establishment,Inside PA?,PA name,current designation,previous designation,Change des?,Original establishment Year,Area m sq,area ha,Shape_Length,Shape_Area
74, , ,Kain,2006,N, , , , ,0,45835655.54,4583.565554,33743.77498,45835655.54
75, , ,Taing Lux,2006,N, , , , ,0,10074227.4,1007.42274,14094.6406,10074227.4
20,1/23/2007,Not found, ,2007,N, , , , ,0,17572432.85,1757.243285,22643.99968,17572432.85
76, , ,CamAgra,2007,N, , , , ,0,55277307.51,5527.730751,112044.6086,55277307.51
77, , ,Snuol Investment,2007,N, , , , ,0,10139866.02,1013.986602,14684.72398,10139866.02
78, , ,Brightway,2007,N, , , , ,0,9986227.998,998.6227998,12966.96268,9986227.998
79, , ,Dau Tu Saigon Dinh Thuoc,2007,N, , , , ,0,97063534.23,9706.353423,46153.71629,97063534.23
80, , ,Tan Bien - Kampong Thom Rubber,2007,N, , , , ,0,115283519.3,11528.35193,73557.63189,115283519.3
81, , ,Evergreen Success & Asia Resort,2007,Y,Ream National Park,National Park, , ,1995,23336735.9,2333.67359,30440.54696,23336735.9
82, , ,Chea Chanrith,2007,N, , , , ,0,157533094.6,15753.30946,56456.38795,157533094.6
83, , ,Ba Ria - Kampong Thom,2007,N, , , , ,0,55340602.28,5534.060228,69878.46031,55340602.28
84, , ,Gold Foison,2007,N, , , , ,0,116868539.3,11686.85393,58794.27304,116868539.3
85, , ,Boeung Ket Rubber Plantation - Long Sreng,2007,N, , , , ,0,77013027.81,7701.302781,80422.98542,77013027.81
11,5/27/2008,Not found, ,2008,N, , , , ,0,10122361.03,1012.236103,13527.09436,10122361.03
22,2/24/2008,Not found, ,2008,N,Sorng Rokha Vorn Wildlife Sanctuary,Wildlife Sanctuary, , ,2018,61880724.15,6188.072415,74875.73407,61880724.15
23,2/24/2008,Not found, ,2008,N,Sorng Rokha Vorn Wildlife Sanctuary,Wildlife Sanctuary, , ,2018,63205834.1,6320.58341,96964.2036,63205834.1
24,2/24/2008,Not found, ,2008,N,Sorng Rokha Vorn Wildlife Sanctuary,Wildlife Sanctuary, , ,2018,59481015.22,5948.101522,75987.52713,59481015.22
86, , ,Coviphama,2008,Y,Phnom Namlear Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,53373742.31,5337.374231,34429.71627,53373742.31
87, , ,Sihanoukville Special Economic Zone (SSEZ),2008,Y,Ream National Park,National Park, , ,1995,11230072.8,1123.00728,25261.94823,11230072.8
88, , ,Casotim,2008,N, , , , ,0,161153131.5,16115.31315,59614.21392,161153131.5
89, , ,Chamkar Andong Rubber Plantation - An Mady Group,2008,N, , , , ,0,74585174.14,7458.517414,90402.52289,74585174.14
90, , ,Snuol Rubber Plantation,2008,N, , , , ,0,48293669.45,4829.366945,50358.54441,48293669.45
91, , ,Phu Rieng - Kratie,2008,N, , , , ,0,99270833.51,9927.083351,80627.03976,99270833.51
92, , ,Dak Lak,2008,Y,Phnom Namlear Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,50895756.76,5089.575676,41711.83619,50895756.76
93, , ,Dong Phu,2008,N, , , , ,0,52322165.07,5232.216507,36836.88764,52322165.07
94, , ,Dong Nai,2008,N, , , , ,0,51896109.61,5189.610961,50652.64072,51896109.61
95, , ,Timas Resources,2008,N,Prey Lang Wildlife Sanctuary,Wildlife Sanctuary, , ,2016,575385420.1,57538.54201,172035.9123,575385420.1
96, , ,Rattanak Stone,2008,N, , , , ,0,4815899.909,481.5899909,21089.69127,4815899.909
97, , ,Thera,2008,N, , , , ,0,5214009.509,521.4009509,20457.90321,5214009.509
98, , ,JPE,2008,N, , , , ,0,6760217.137,676.0217137,19283.33796,6760217.137
99, , ,Memot Rubber Plantation - TTY,2008,N, , , , ,0,89944312.69,8994.431269,127409.0209,89944312.69
100, , ,LYP Kiri Sakor Koh Kong SEZ,2008,Y,Botum Sakor National Park,National Park, , ,1993,121654661.1,12165.46611,65553.63567,121654661.1
101, , ,Peam Cheang Rubber Plantation - An Mady Group,2008,N, , , , ,0,36893993.71,3689.399371,45581.68125,36893993.71
102, , ,Krek Rubber Plantation,2008,N, , , , ,0,45278154.5,4527.81545,60406.54344,45278154.5
103, , ,Land & Developing,2008,N, , , , ,0,101784210.5,10178.42105,43899.1238,101784210.5
104, , ,Crops & Land,2008,N, , , , ,0,94563496.96,9456.349696,39144.83828,94563496.96
105, , ,Agri-Industrial Crops,2008,N, , , , ,0,92290906.93,9229.090693,43040.76938,92290906.93
106, , ,Seang Long Greenland,2008,Y,Phnom Prich Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,99583495.61,9958.349561,42299.27556,99583495.61
107, , ,Tong Ming Group,2008,N, , , , ,0,83540643.46,8354.064346,53904.84731,83540643.46
