OBJECTID,Join_Count,TARGET_FID,JOIN_FID,Current_name,category,Previous_name,Original_designation,Change_des?,Original_establishment_year,Dataset_area_ha,calculated_area_ha,Province,District,Commune,reference,last_upd_1,language_1,contract_date,sub_decree_date,Name,year_establishment,Inside_PA,PA_name,current_designation,previous designation,Change_des,Original_establishment_Year2,Area_msq,area_ha,Shape_Length_1,Shape_Area_1,Shape_Length,Shape_Area
16,1,5,78,Phnom Prich Wildlife Sanctuary,Wildlife Sanctuary,Phnom Prich,Wildlife Sanctuary,N,1993,222244.5459,"222,500","Ratanak Kiri, Mondul Kiri",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Dai Nam,2011,Y,Phnom Prich Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,86323736.29,8632.373629,46804.21754,86323736.29,255982.0818,2222445459
17,1,5,79,Phnom Prich Wildlife Sanctuary,Wildlife Sanctuary,Phnom Prich,Wildlife Sanctuary,N,1993,222244.5459,"222,500","Ratanak Kiri, Mondul Kiri",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Dai Thanh,2011,Y,Phnom Prich Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,85447060.76,8544.706076,48123.74252,85447060.76,255982.0818,2222445459
18,1,5,101,Phnom Prich Wildlife Sanctuary,Wildlife Sanctuary,Phnom Prich,Wildlife Sanctuary,N,1993,222244.5459,"222,500","Ratanak Kiri, Mondul Kiri",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Master K Sun,2012,Y,Phnom Prich Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,76025752.26,7602.575226,41652.8368,76025752.26,255982.0818,2222445459
19,1,5,104,Phnom Prich Wildlife Sanctuary,Wildlife Sanctuary,Phnom Prich,Wildlife Sanctuary,N,1993,222244.5459,"222,500","Ratanak Kiri, Mondul Kiri",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Touchwood (Cambodia),2012,Y,Phnom Prich Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,111674280.4,11167.42804,52716.68909,111674280.4,255982.0818,2222445459
20,1,5,110,Phnom Prich Wildlife Sanctuary,Wildlife Sanctuary,Phnom Prich,Wildlife Sanctuary,N,1993,222244.5459,"222,500","Ratanak Kiri, Mondul Kiri",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Lim Royal Joint Stock,2012,Y,Phnom Prich Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,89045744.64,8904.574464,43215.52797,89045744.64,255982.0818,2222445459
21,1,5,111,Phnom Prich Wildlife Sanctuary,Wildlife Sanctuary,Phnom Prich,Wildlife Sanctuary,N,1993,222244.5459,"222,500","Ratanak Kiri, Mondul Kiri",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Pacific Glory Joint-Stock,2014,Y,Phnom Prich Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,99367961.06,9936.796106,61782.41157,99367961.06,255982.0818,2222445459
22,1,6,31,Lomphat Wildlife Sanctuary,Wildlife Sanctuary,Lomphat,Wildlife Sanctuary,N,1993,250846.2851,"250,000","Ratanak Kiri, Mondul Kiri",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Unigreen Resources,2009,Y,Lomphat Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,117171960.3,11717.19603,46633.78431,117171960.3,325323.3696,2508462851
23,1,6,36,Lomphat Wildlife Sanctuary,Wildlife Sanctuary,Lomphat,Wildlife Sanctuary,N,1993,250846.2851,"250,000","Ratanak Kiri, Mondul Kiri",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Mondulagri Resources,2009,Y,Lomphat Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,97060100.21,9706.010021,48153.59766,97060100.21,325323.3696,2508462851
24,1,6,64,Lomphat Wildlife Sanctuary,Wildlife Sanctuary,Lomphat,Wildlife Sanctuary,N,1993,250846.2851,"250,000","Ratanak Kiri, Mondul Kiri",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Mokod Pich Aphivath,2011,Y,Lomphat Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,19727150.75,1972.715075,31849.67636,19727150.75,325323.3696,2508462851
25,1,6,66,Lomphat Wildlife Sanctuary,Wildlife Sanctuary,Lomphat,Wildlife Sanctuary,N,1993,250846.2851,"250,000","Ratanak Kiri, Mondul Kiri",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Daun Penh Agrico,2011,Y,Lomphat Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,101848714.6,10184.87146,54380.89499,101848714.6,325323.3696,2508462851
